DerogCnt,BanruptcyInd,TLTimeFirst,TLSum,TLMaxSum,TLBalHCPct,TLSatPct,TLOpenPct,TLDel60Cnt24,TLOpen24Pct
13,0,339,3950.0,128509.0,0.868,0.4286,0.5588,1,0.3333
0,0,125,185.0,21792.0,0.43019999999999997,0.5556,0.32789999999999997,0,0.3077
0,0,144,17059.0,42478.0,0.6272,0.5294,0.32349999999999995,3,0.6667
0,0,68,43606.0,8526.0,0.5681999999999999,0.3333,0.4375,1,0.3333
0,0,382,22717.0,31930.0,0.5652999999999999,0.375,1.0,0,0.0
0,0,173,41529.0,43039.0,0.6291,0.5909,0.6295999999999999,0,0.4286
2,0,225,725.0,18030.0,0.7158,0.8298,0.5882,0,0.6667
2,1,53,26201.0,2617.0,0.9094,0.5909,0.9443999999999999,1,0.625
9,0,260,35385.0,43233.0,0.5923999999999999,0.1538,0.2895,8,0.3333
21,0,196,35845.0,6952.0,0.9503999999999999,0.40909999999999996,0.1429,0,6.0
2,0,99,8216.0,70895.0,0.7909999999999999,0.25,0.38889999999999997,1,0.47619999999999996
10,0,189,37199.0,1876.0,0.8788999999999999,0.9544999999999999,0.46669999999999995,1,0.0588
0,0,87,8717.0,77395.0,0.8586999999999999,0.7618999999999999,0.5925999999999999,0,1.0
0,0,211,32509.0,27826.0,0.9513999999999999,0.5588,0.39999999999999997,3,1.1428999999999998
0,0,253,999.0,27185.0,0.5884999999999999,0.6222,0.3333,7,1.0
21,0,29,35714.0,65674.0,0.28919999999999996,0.6499999999999999,0.3333,0,0.5
0,0,8,21153.0,86279.0,0.5549,0.43479999999999996,0.3243,7,0.5
10,1,61,10686.0,47303.0,0.7906,0.5713999999999999,0.41379999999999995,0,0.9473999999999999
0,0,82,19731.0,3625.0,0.6377999999999999,0.28569999999999995,0.4468,0,0.13329999999999997
1,0,86,21898.0,32276.0,0.9753,0.6922999999999999,0.35559999999999997,0,0.09999999999999999
0,0,311,2180.0,12345.0,0.10439999999999999,0.7813,0.6667,0,0.10529999999999999
23,0,146,61279.0,92418.0,0.7113999999999999,0.7027,0.5294,4,0.46669999999999995
0,0,40,38709.0,11135.0,0.6879,0.6364,0.6206999999999999,0,1.5999999999999999
3,0,166,36424.0,23059.0,0.8913,0.28569999999999995,0.7333,0,0.31579999999999997
0,0,117,455.0,15376.0,0.6672999999999999,0.09519999999999999,0.0667,0,4.5
0,1,20,8719.0,155.0,0.7873,0.47059999999999996,0.8234999999999999,1,0.5
1,0,275,7063.0,17191.0,0.9564999999999999,0.3333,0.5199999999999999,0,0.1765
0,0,263,2886.0,4836.0,0.8334999999999999,0.38099999999999995,0.6667,0,1.0
17,0,103,44266.0,70249.0,0.9263999999999999,0.19999999999999998,0.3529,4,0.3529
0,0,226,29466.0,47560.0,0.7312,0.3243,0.7,0,0.7999999999999999
0,1,100,729.0,10608.0,0.5364,0.20829999999999999,0.5651999999999999,8,0.6499999999999999
0,1,439,9005.0,39780.0,0.5341999999999999,0.7826,0.8999999999999999,1,1.0
0,0,97,2063.0,68717.0,0.24689999999999998,0.3333,0.4286,6,0.7599999999999999
0,0,167,29867.0,6644.0,0.9397,0.19049999999999997,0.47369999999999995,0,0.7777999999999999
0,0,103,1827.0,28172.0,0.7168,0.22219999999999998,0.7082999999999999,1,0.0
5,0,252,15304.0,43507.0,0.8547999999999999,0.1667,0.875,0,0.75
0,1,13,46604.0,96183.0,0.8859999999999999,0.7273,0.8666999999999999,0,0.5
0,0,358,24305.0,8342.0,0.25389999999999996,0.8056,0.5455,0,0.28569999999999995
0,0,124,24323.0,9668.0,0.6101,0.7333,0.1818,0,0.6
0,0,287,62895.0,14836.0,0.9381999999999999,0.6551999999999999,0.8695999999999999,0,0.0
0,0,270,19021.0,23285.0,0.49019999999999997,0.5313,0.2143,0,0.75
0,1,33,10604.0,55466.0,0.7267999999999999,0.3571,0.2647,2,0.7999999999999999
1,1,236,9688.0,3763.0,1.1457,0.575,0.23529999999999998,0,0.22219999999999998
13,0,353,18726.0,30726.0,0.5622999999999999,0.5861999999999999,0.6111,0,0.10529999999999999
0,1,267,32185.0,13653.0,0.7777,0.8056,0.3333,0,0.6667
10,0,178,15214.0,49087.0,0.6778,0.6086999999999999,0.7273,0,0.0
0,0,330,29910.0,43749.0,0.7723,0.5769,0.44439999999999996,1,0.2727
0,1,307,20008.0,95766.0,0.8815,0.619,0.6154,0,0.5
12,0,40,42876.0,39210.0,0.6707,0.2727,0.2778,0,0.5713999999999999
0,0,283,30659.0,30130.0,0.8313999999999999,0.575,0.6285999999999999,0,1.0
0,0,250,42529.0,67986.0,0.7895,0.44739999999999996,0.22219999999999998,10,0.39999999999999997
6,0,35,22792.0,30845.0,0.8236,0.3125,0.5,2,0.22219999999999998
2,0,143,7938.0,7684.0,0.4286,0.44439999999999996,0.3333,0,0.28569999999999995
0,1,111,62895.0,24187.0,0.6932999999999999,0.7367999999999999,0.6,0,1.2727
0,1,39,761.0,33604.0,0.4145,0.1538,0.4839,0,0.0
0,0,146,4261.0,49973.0,0.7726999999999999,0.6061,0.37039999999999995,0,0.0
0,0,384,1331.0,9158.0,0.8909999999999999,0.25,1.0,0,0.1429
