Vintage,Variant,Budget,Profit Scr ANR,Default Scr ANR,Grade-Only ANR,Invest-All ANR,PS vs Grade (bp),PS vs DS (bp),PS vs Grade ($M)
2012,Grade-Blind,3%,+6.09%,+4.02%,+1.90%,+1.12%,+418,+206,$+5.1M
2012,Grade-Blind,25%,+4.06%,+3.31%,+1.65%,+1.12%,+241,+75,$+19.5M
2012,Grade-Aware,3%,+5.42%,+2.95%,+1.90%,+1.12%,+352,+247,$+3.9M
2012,Grade-Aware,25%,+4.07%,+3.01%,+1.65%,+1.12%,+242,+106,$+16.5M
2013,Grade-Blind,3%,+5.08%,+4.36%,+3.03%,+2.58%,+205,+72,$+6.6M
2013,Grade-Blind,25%,+4.55%,+4.34%,+3.36%,+2.58%,+119,+21,$+32.4M
2013,Grade-Aware,3%,+5.61%,+3.53%,+3.03%,+2.58%,+258,+208,$+12.7M
2013,Grade-Aware,25%,+4.58%,+4.19%,+3.36%,+2.58%,+122,+39,$+41.0M
2014,Grade-Blind,3%,+5.03%,+4.15%,+3.01%,+2.12%,+201,+88,$+1.7M
2014,Grade-Blind,25%,+4.16%,+3.78%,+2.97%,+2.12%,+119,+37,$+12.9M
2014,Grade-Aware,3%,+5.50%,+3.44%,+3.01%,+2.12%,+249,+206,$+3.3M
2014,Grade-Aware,25%,+4.12%,+3.55%,+2.97%,+2.12%,+115,+57,$+20.2M
2015,Grade-Blind,3%,+4.46%,+3.55%,+2.42%,+0.56%,+204,+91,$-0.6M
2015,Grade-Blind,25%,+3.04%,+3.00%,+2.44%,+0.56%,+60,+4,$+5.7M
2015,Grade-Aware,3%,+4.43%,+3.16%,+2.42%,+0.56%,+201,+127,$+1.7M
2015,Grade-Aware,25%,+2.92%,+2.77%,+2.44%,+0.56%,+48,+14,$+10.8M
